r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 1,Jason Herzog,Decision - Unanimous,Derek Cleary 28-29.,Dave Hagen 28-29.,Rick Winter 28-29.,Curtis Millender ,0,9 of 15,0,0 of 0,---,0:00,9 of 15,2 of 7,5 of 5,2 of 3,9 of 15,0 of 0,Max Griffin ,0,29 of 47,0,1 of 1,100%,3:00,14 of 31,12 of 27,0 of 1,2 of 3,5 of 20,0 of 0
Round 2,Jason Herzog,Decision - Unanimous,Derek Cleary 28-29.,Dave Hagen 28-29.,Rick Winter 28-29.,Curtis Millender ,0,11 of 34,0,1 of 1,100%,0:19,10 of 33,6 of 25,3 of 5,1 of 3,8 of 30,0 of 1,Max Griffin ,0,15 of 32,0,0 of 0,---,0:00,15 of 32,6 of 20,4 of 7,5 of 5,15 of 32,0 of 0
Round 3,Jason Herzog,Decision - Unanimous,Derek Cleary 28-29.,Dave Hagen 28-29.,Rick Winter 28-29.,Curtis Millender ,0,20 of 47,0,0 of 0,---,0:00,19 of 46,15 of 39,2 of 5,2 of 2,16 of 41,3 of 5,Max Griffin ,0,17 of 38,0,0 of 1,0%,1:17,15 of 36,10 of 28,3 of 6,2 of 2,14 of 33,1 of 3
Round 1,Jason Herzog,Decision - Unanimous,Chris Lee 28-29.,Rick Winter 28-29.,Junichiro Kamijo 28-29.,Jamie Moyle ,0,17 of 39,0,0 of 0,---,0:00,17 of 39,4 of 22,6 of 9,7 of 8,17 of 39,0 of 0,Emily Whitmire ,0,19 of 78,0,0 of 0,---,0:00,19 of 78,9 of 65,5 of 8,5 of 5,19 of 76,0 of 2
Round 2,Jason Herzog,Decision - Unanimous,Chris Lee 28-29.,Rick Winter 28-29.,Junichiro Kamijo 28-29.,Jamie Moyle ,0,28 of 69,0,0 of 3,0%,0:38,27 of 68,18 of 53,5 of 11,4 of 4,26 of 64,1 of 4,Emily Whitmire ,0,22 of 83,0,0 of 1,0%,0:13,18 of 79,11 of 71,2 of 3,5 of 5,16 of 77,2 of 2
Round 3,Jason Herzog,Decision - Unanimous,Chris Lee 28-29.,Rick Winter 28-29.,Junichiro Kamijo 28-29.,Jamie Moyle ,0,30 of 41,0,0 of 0,---,0:00,6 of 10,2 of 6,2 of 2,2 of 2,4 of 7,0 of 0,Emily Whitmire ,0,70 of 103,0,1 of 1,100%,4:42,16 of 26,13 of 23,2 of 2,1 of 1,5 of 11,0 of 0
Round 1,Herb Dean,Decision - Unanimous,Chris Lee 46-49.,Derek Cleary 45-50.,Sal D'amato 45-50.,Brad Tavares ,0,11 of 38,0,0 of 1,0%,0:26,9 of 36,8 of 35,0 of 0,1 of 1,8 of 33,0 of 2,Israel Adesanya ,0,14 of 35,0,0 of 0,---,0:00,14 of 35,4 of 21,3 of 5,7 of 9,13 of 34,1 of 1
Round 2,Herb Dean,Decision - Unanimous,Chris Lee 46-49.,Derek Cleary 45-50.,Sal D'amato 45-50.,Brad Tavares ,0,8 of 30,0,0 of 2,0%,0:13,8 of 30,6 of 26,0 of 2,2 of 2,8 of 29,0 of 1,Israel Adesanya ,0,25 of 49,0,0 of 1,0%,0:12,25 of 49,13 of 34,5 of 7,7 of 8,24 of 46,1 of 3
Round 3,Herb Dean,Decision - Unanimous,Chris Lee 46-49.,Derek Cleary 45-50.,Sal D'amato 45-50.,Brad Tavares ,0,10 of 55,0,0 of 1,0%,0:15,9 of 54,8 of 51,1 of 3,0 of 0,9 of 51,0 of 3,Israel Adesanya ,0,28 of 51,0,0 of 1,0%,0:02,27 of 50,12 of 31,6 of 8,9 of 11,23 of 45,4 of 4
Round 4,Herb Dean,Decision - Unanimous,Chris Lee 46-49.,Derek Cleary 45-50.,Sal D'amato 45-50.,Brad Tavares ,0,11 of 32,0,1 of 2,50%,1:12,8 of 28,8 of 27,0 of 1,0 of 0,6 of 26,1 of 1,Israel Adesanya ,0,32 of 41,0,0 of 0,---,0:12,28 of 37,17 of 26,5 of 5,6 of 6,19 of 28,6 of 6
Round 5,Herb Dean,Decision - Unanimous,Chris Lee 46-49.,Derek Cleary 45-50.,Sal D'amato 45-50.,Brad Tavares ,0,6 of 26,0,0 of 6,0%,0:00,6 of 26,4 of 24,2 of 2,0 of 0,6 of 25,0 of 1,Israel Adesanya ,0,28 of 47,0,0 of 0,---,1:21,25 of 44,15 of 32,2 of 4,8 of 8,20 of 39,0 of 0
Round 1,Marc Goddard,Decision - Split,Dave Hagen 28-29.,Glenn Trowbridge 29-28.,Junichiro Kamijo 28-29.,Michael Trizano ,0,6 of 7,0,0 of 0,---,1:12,5 of 6,1 of 2,1 of 1,3 of 3,4 of 5,0 of 0,Joe Giannetti ,0,8 of 18,0,1 of 5,20%,2:51,6 of 16,1 of 10,2 of 3,3 of 3,4 of 10,2 of 4
Round 2,Marc Goddard,Decision - Split,Dave Hagen 28-29.,Glenn Trowbridge 29-28.,Junichiro Kamijo 28-29.,Michael Trizano ,0,49 of 52,0,0 of 0,---,4:27,6 of 8,1 of 3,0 of 0,5 of 5,5 of 5,0 of 0,Joe Giannetti ,0,34 of 37,0,0 of 1,0%,0:00,4 of 6,0 of 2,0 of 0,4 of 4,4 of 6,0 of 0
Round 3,Marc Goddard,Decision - Split,Dave Hagen 28-29.,Glenn Trowbridge 29-28.,Junichiro Kamijo 28-29.,Michael Trizano ,0,31 of 57,0,0 of 0,---,0:00,31 of 57,7 of 21,6 of 17,18 of 19,31 of 57,0 of 0,Joe Giannetti ,0,19 of 53,0,0 of 0,---,0:00,19 of 53,2 of 31,9 of 14,8 of 8,19 of 53,0 of 0
Round 1,Herb Dean,Decision - Unanimous,Mike Bell 26-30.,Sal D'amato 26-30.,Adalaide Byrd 26-30.,Jay Cucciniello ,0,9 of 33,0,0 of 1,0%,0:00,9 of 33,5 of 26,3 of 6,1 of 1,9 of 31,0 of 2,Brad Katona ,0,35 of 55,0,0 of 1,0%,0:00,35 of 55,12 of 26,7 of 10,16 of 19,35 of 55,0 of 0
Round 2,Herb Dean,Decision - Unanimous,Mike Bell 26-30.,Sal D'amato 26-30.,Adalaide Byrd 26-30.,Jay Cucciniello ,0,4 of 22,0,0 of 0,---,0:00,3 of 21,2 of 20,1 of 1,0 of 0,3 of 21,0 of 0,Brad Katona ,0,36 of 46,0,1 of 2,50%,4:00,20 of 29,16 of 24,1 of 2,3 of 3,12 of 17,0 of 0
Round 3,Herb Dean,Decision - Unanimous,Mike Bell 26-30.,Sal D'amato 26-30.,Adalaide Byrd 26-30.,Jay Cucciniello ,0,5 of 13,0,0 of 0,---,0:00,2 of 10,1 of 9,1 of 1,0 of 0,1 of 8,1 of 1,Brad Katona ,0,46 of 66,0,1 of 4,25%,4:19,16 of 27,14 of 24,0 of 1,2 of 2,3 of 9,0 of 0
Round 1,Mark Smith,Decision - Split,Rick Winter 29-28.,Dave Hagen 28-29.,Derek Cleary 28-29.,Alex Caceres ,0,24 of 42,0,0 of 0,---,0:03,21 of 39,15 of 32,5 of 6,1 of 1,20 of 34,1 of 2,Martin Bravo ,0,34 of 66,0,2 of 5,40%,2:20,18 of 49,12 of 37,4 of 6,2 of 6,12 of 37,3 of 4
Round 2,Mark Smith,Decision - Split,Rick Winter 29-28.,Dave Hagen 28-29.,Derek Cleary 28-29.,Alex Caceres ,0,23 of 52,0,0 of 0,---,0:38,23 of 52,16 of 45,7 of 7,0 of 0,20 of 48,3 of 4,Martin Bravo ,0,28 of 84,0,0 of 2,0%,0:23,23 of 79,18 of 70,2 of 4,3 of 5,21 of 74,2 of 5
Round 3,Mark Smith,Decision - Split,Rick Winter 29-28.,Dave Hagen 28-29.,Derek Cleary 28-29.,Alex Caceres ,0,39 of 69,0,0 of 1,0%,0:02,38 of 68,29 of 57,8 of 10,1 of 1,38 of 65,0 of 3,Martin Bravo ,0,47 of 120,0,1 of 2,50%,0:58,37 of 108,31 of 97,4 of 7,2 of 4,33 of 99,2 of 7
Round 1,Chris Tognoni,Decision - Split,Dave Hagen 30-27.,Sal D'amato 28-29.,Adalaide Byrd 28-29.,Alessio Di Chirico ,0,19 of 45,0,1 of 1,100%,0:17,19 of 45,10 of 34,6 of 8,3 of 3,19 of 45,0 of 0,Julian Marquez ,0,11 of 48,0,0 of 1,0%,0:00,11 of 48,7 of 44,3 of 3,1 of 1,11 of 47,0 of 1
Round 2,Chris Tognoni,Decision - Split,Dave Hagen 30-27.,Sal D'amato 28-29.,Adalaide Byrd 28-29.,Alessio Di Chirico ,0,13 of 33,0,2 of 3,66%,2:36,9 of 28,6 of 23,3 of 4,0 of 1,7 of 19,1 of 2,Julian Marquez ,0,18 of 40,0,0 of 0,---,0:00,17 of 39,10 of 27,6 of 9,1 of 3,14 of 36,3 of 3
Round 3,Chris Tognoni,Decision - Split,Dave Hagen 30-27.,Sal D'amato 28-29.,Adalaide Byrd 28-29.,Alessio Di Chirico ,0,23 of 44,0,1 of 2,50%,1:05,22 of 43,14 of 33,5 of 7,3 of 3,22 of 43,0 of 0,Julian Marquez ,0,20 of 61,0,0 of 0,---,0:03,19 of 60,11 of 49,7 of 9,1 of 2,17 of 58,2 of 2
Round 1,Chris Tognoni,Decision - Majority,Sal D'amato 28-29.,Dave Hagen 28-28.,Adalaide Byrd 28-29.,John Gunther ,0,40 of 49,0,5 of 8,62%,4:28,8 of 13,5 of 9,1 of 1,2 of 3,3 of 7,3 of 4,Allan Zuniga ,0,9 of 14,0,0 of 0,---,0:00,6 of 11,1 of 5,4 of 4,1 of 2,2 of 7,4 of 4
Round 2,Chris Tognoni,Decision - Majority,Sal D'amato 28-29.,Dave Hagen 28-28.,Adalaide Byrd 28-29.,John Gunther ,0,33 of 53,0,2 of 6,33%,4:01,11 of 24,10 of 22,0 of 1,1 of 1,10 of 22,1 of 2,Allan Zuniga ,0,33 of 46,0,0 of 0,---,0:00,15 of 27,6 of 17,5 of 5,4 of 5,12 of 24,2 of 2
Round 3,Chris Tognoni,Decision - Majority,Sal D'amato 28-29.,Dave Hagen 28-28.,Adalaide Byrd 28-29.,John Gunther ,0,21 of 50,0,1 of 5,20%,2:39,8 of 34,7 of 30,1 of 4,0 of 0,7 of 33,1 of 1,Allan Zuniga ,0,51 of 87,0,0 of 0,---,0:00,38 of 74,26 of 56,9 of 15,3 of 3,30 of 65,8 of 9
Round 1,Marc Goddard,Decision - Majority,Mike Bell 28-28.,Derek Cleary 28-29.,Rick Winter 28-29.,Tyler Diamond ,0,14 of 45,0,1 of 1,100%,1:00,11 of 42,6 of 35,2 of 4,3 of 3,10 of 37,1 of 4,Bryce Mitchell ,0,16 of 33,0,2 of 5,40%,1:24,15 of 30,6 of 17,9 of 13,0 of 0,9 of 21,6 of 9
Round 2,Marc Goddard,Decision - Majority,Mike Bell 28-28.,Derek Cleary 28-29.,Rick Winter 28-29.,Tyler Diamond ,0,26 of 35,0,0 of 1,0%,3:35,20 of 29,13 of 22,6 of 6,1 of 1,3 of 8,0 of 0,Bryce Mitchell ,0,25 of 31,0,1 of 4,25%,0:48,19 of 25,19 of 22,0 of 3,0 of 0,0 of 4,1 of 1
Round 3,Marc Goddard,Decision - Majority,Mike Bell 28-28.,Derek Cleary 28-29.,Rick Winter 28-29.,Tyler Diamond ,0,32 of 49,0,2 of 2,100%,3:57,20 of 36,15 of 31,4 of 4,1 of 1,7 of 17,0 of 1,Bryce Mitchell ,0,4 of 14,0,0 of 1,0%,0:03,4 of 14,4 of 11,0 of 2,0 of 1,4 of 14,0 of 0
Round 1,Mark Smith,Decision - Split,Junichiro Kamijo 28-29.,Chris Lee 29-28.,Glenn Trowbridge 28-29.,Matt Bessette ,0,38 of 73,0,0 of 2,0%,1:11,25 of 60,17 of 50,6 of 8,2 of 2,19 of 51,4 of 7,Steven Peterson ,0,32 of 70,0,0 of 0,---,1:21,22 of 60,9 of 46,7 of 8,6 of 6,17 of 48,5 of 12
Round 2,Mark Smith,Decision - Split,Junichiro Kamijo 28-29.,Chris Lee 29-28.,Glenn Trowbridge 28-29.,Matt Bessette ,0,33 of 78,0,0 of 1,0%,0:00,28 of 69,22 of 60,5 of 6,1 of 3,24 of 64,4 of 5,Steven Peterson ,0,42 of 93,0,1 of 3,33%,1:54,38 of 89,28 of 77,5 of 7,5 of 5,26 of 74,5 of 7
Round 3,Mark Smith,Decision - Split,Junichiro Kamijo 28-29.,Chris Lee 29-28.,Glenn Trowbridge 28-29.,Matt Bessette ,0,17 of 26,0,0 of 0,---,0:21,4 of 12,3 of 11,1 of 1,0 of 0,2 of 10,2 of 2,Steven Peterson ,0,41 of 57,0,1 of 3,33%,3:58,14 of 26,7 of 18,7 of 8,0 of 0,3 of 14,6 of 6
Round 1,Leon Roberts,Decision - Unanimous,Howie Booth 47-48.,Evan Field 47-48.,Charlie Keech 47-48.,Donald Cerrone ,0,15 of 29,0,0 of 1,0%,0:00,12 of 26,2 of 13,7 of 9,3 of 4,10 of 24,2 of 2,Leon Edwards ,0,19 of 36,0,0 of 2,0%,0:45,16 of 32,9 of 22,4 of 7,3 of 3,7 of 22,9 of 10
Round 2,Leon Roberts,Decision - Unanimous,Howie Booth 47-48.,Evan Field 47-48.,Charlie Keech 47-48.,Donald Cerrone ,0,12 of 27,0,0 of 2,0%,0:44,12 of 26,3 of 13,8 of 10,1 of 3,9 of 21,3 of 5,Leon Edwards ,0,24 of 40,0,0 of 1,0%,0:03,16 of 32,6 of 20,8 of 10,2 of 2,10 of 26,6 of 6
Round 3,Leon Roberts,Decision - Unanimous,Howie Booth 47-48.,Evan Field 47-48.,Charlie Keech 47-48.,Donald Cerrone ,0,15 of 37,0,0 of 3,0%,0:11,15 of 37,8 of 24,6 of 10,1 of 3,12 of 33,3 of 4,Leon Edwards ,0,19 of 38,0,0 of 0,---,0:00,19 of 38,11 of 29,5 of 5,3 of 4,15 of 32,4 of 6
Round 4,Leon Roberts,Decision - Unanimous,Howie Booth 47-48.,Evan Field 47-48.,Charlie Keech 47-48.,Donald Cerrone ,0,10 of 20,0,0 of 2,0%,0:57,10 of 20,1 of 7,5 of 5,4 of 8,9 of 18,1 of 2,Leon Edwards ,0,20 of 37,0,0 of 1,0%,0:00,15 of 31,8 of 19,1 of 3,6 of 9,13 of 29,2 of 2
Round 5,Leon Roberts,Decision - Unanimous,Howie Booth 47-48.,Evan Field 47-48.,Charlie Keech 47-48.,Donald Cerrone ,0,12 of 23,0,1 of 1,100%,0:51,11 of 22,3 of 10,4 of 6,4 of 6,8 of 19,2 of 2,Leon Edwards ,0,19 of 34,0,0 of 0,---,0:00,18 of 33,3 of 15,1 of 2,14 of 16,17 of 31,1 of 2
Round 1,Steve Perceval,Decision - Unanimous,Albert Shen 27-30.,Howie Booth 28-29.,Charlie Keech 28-29.,Jessica-Rose Clark ,0,18 of 58,0,0 of 0,---,0:00,18 of 58,15 of 52,1 of 4,2 of 2,18 of 58,0 of 0,Jessica Eye ,0,17 of 88,0,0 of 0,---,0:00,17 of 88,13 of 79,3 of 7,1 of 2,17 of 88,0 of 0
Round 2,Steve Perceval,Decision - Unanimous,Albert Shen 27-30.,Howie Booth 28-29.,Charlie Keech 28-29.,Jessica-Rose Clark ,0,20 of 46,0,0 of 0,---,0:02,20 of 46,10 of 33,7 of 8,3 of 5,18 of 44,2 of 2,Jessica Eye ,0,24 of 72,0,0 of 0,---,0:22,23 of 71,10 of 54,9 of 13,4 of 4,21 of 69,0 of 0
Round 3,Steve Perceval,Decision - Unanimous,Albert Shen 27-30.,Howie Booth 28-29.,Charlie Keech 28-29.,Jessica-Rose Clark ,0,13 of 35,0,0 of 0,---,0:00,13 of 35,5 of 26,5 of 6,3 of 3,10 of 30,2 of 3,Jessica Eye ,0,33 of 72,0,1 of 2,50%,1:43,27 of 66,15 of 49,11 of 15,1 of 2,22 of 60,0 of 0
Round 1,Leon Roberts,Decision - Unanimous,Ben Cartlidge 26-30.,Mark Craig 27-30.,Evan Field 27-30.,Li Jingliang ,0,35 of 58,0,0 of 0,---,0:00,35 of 58,9 of 26,7 of 11,19 of 21,34 of 57,1 of 1,Daichi Abe ,0,20 of 53,0,0 of 0,---,0:00,20 of 53,9 of 41,1 of 1,10 of 11,20 of 52,0 of 1
Round 2,Leon Roberts,Decision - Unanimous,Ben Cartlidge 26-30.,Mark Craig 27-30.,Evan Field 27-30.,Li Jingliang ,0,34 of 81,0,0 of 0,---,0:00,34 of 81,10 of 42,3 of 7,21 of 32,34 of 81,0 of 0,Daichi Abe ,0,14 of 51,0,0 of 0,---,0:00,14 of 51,10 of 41,0 of 2,4 of 8,14 of 51,0 of 0
Round 3,Leon Roberts,Decision - Unanimous,Ben Cartlidge 26-30.,Mark Craig 27-30.,Evan Field 27-30.,Li Jingliang ,0,27 of 67,0,0 of 0,---,0:00,27 of 67,13 of 43,3 of 5,11 of 19,27 of 67,0 of 0,Daichi Abe ,0,11 of 50,0,0 of 0,---,0:00,11 of 50,5 of 41,0 of 3,6 of 6,11 of 50,0 of 0
Round 1,Neil Swailes,Decision - Unanimous,Howie Booth 28-29.,Albert Shen 28-29.,Mark Craig 27-30.,Viviane Pereira ,0,9 of 51,0,0 of 0,---,0:00,9 of 51,6 of 46,3 of 5,0 of 0,9 of 51,0 of 0,Yan Xiaonan ,0,20 of 68,0,0 of 0,---,0:00,20 of 68,13 of 55,2 of 5,5 of 8,20 of 68,0 of 0
Round 2,Neil Swailes,Decision - Unanimous,Howie Booth 28-29.,Albert Shen 28-29.,Mark Craig 27-30.,Viviane Pereira ,0,23 of 80,0,0 of 0,---,0:00,23 of 80,18 of 71,5 of 9,0 of 0,23 of 80,0 of 0,Yan Xiaonan ,0,27 of 80,0,0 of 0,---,0:00,27 of 80,14 of 56,0 of 3,13 of 21,27 of 80,0 of 0
Round 3,Neil Swailes,Decision - Unanimous,Howie Booth 28-29.,Albert Shen 28-29.,Mark Craig 27-30.,Viviane Pereira ,0,12 of 81,0,0 of 0,---,0:00,12 of 81,10 of 72,2 of 9,0 of 0,11 of 79,1 of 2,Yan Xiaonan ,0,24 of 79,0,0 of 0,---,0:00,24 of 79,15 of 63,0 of 0,9 of 16,24 of 78,0 of 1
Round 1,Steve Perceval,Decision - Split,Evan Field 28-29.,Garth Harriman 29-28.,Charlie Keech 28-29.,Matt Schnell ,0,25 of 59,0,0 of 0,---,0:00,25 of 59,14 of 45,1 of 3,10 of 11,25 of 58,0 of 1,Naoki Inoue ,0,16 of 63,0,0 of 0,---,0:00,16 of 63,13 of 56,0 of 0,3 of 7,15 of 62,1 of 1
Round 2,Steve Perceval,Decision - Split,Evan Field 28-29.,Garth Harriman 29-28.,Charlie Keech 28-29.,Matt Schnell ,0,23 of 60,0,0 of 0,---,0:00,23 of 60,14 of 45,2 of 4,7 of 11,22 of 57,1 of 3,Naoki Inoue ,0,10 of 67,0,0 of 0,---,0:00,10 of 67,9 of 61,0 of 1,1 of 5,9 of 66,1 of 1
Round 3,Steve Perceval,Decision - Split,Evan Field 28-29.,Garth Harriman 29-28.,Charlie Keech 28-29.,Matt Schnell ,0,31 of 73,0,0 of 1,0%,0:00,23 of 64,15 of 51,2 of 5,6 of 8,21 of 62,2 of 2,Naoki Inoue ,0,38 of 82,0,0 of 1,0%,0:37,22 of 66,13 of 55,2 of 3,7 of 8,18 of 62,4 of 4
Round 1,Thomas Fan,Decision - Split,Ben Cartlidge 28-29.,Charlie Keech 29-28.,Garth Harriman 28-29.,Ji Yeon Kim ,0,35 of 115,0,0 of 0,---,0:18,33 of 113,24 of 103,7 of 7,2 of 3,27 of 106,6 of 7,Melinda Fabian ,0,34 of 79,0,0 of 0,---,0:00,34 of 79,16 of 60,5 of 6,13 of 13,34 of 78,0 of 1
Round 2,Thomas Fan,Decision - Split,Ben Cartlidge 28-29.,Charlie Keech 29-28.,Garth Harriman 28-29.,Ji Yeon Kim ,0,23 of 65,0,0 of 0,---,0:31,20 of 62,15 of 57,3 of 3,2 of 2,16 of 58,4 of 4,Melinda Fabian ,0,17 of 48,0,0 of 1,0%,0:02,17 of 48,9 of 32,1 of 4,7 of 12,17 of 45,0 of 3
Round 3,Thomas Fan,Decision - Split,Ben Cartlidge 28-29.,Charlie Keech 29-28.,Garth Harriman 28-29.,Ji Yeon Kim ,0,35 of 81,0,0 of 0,---,1:37,20 of 66,7 of 45,12 of 19,1 of 2,9 of 51,11 of 15,Melinda Fabian ,0,28 of 53,0,0 of 0,---,0:00,21 of 46,14 of 35,5 of 8,2 of 3,15 of 31,6 of 15
Round 1,Dan Miragliotta,Decision - Split,Brian Puccillo 47-48.,Sal D'amato 48-47.,Chris Lee 47-48.,Robert Whittaker ,0,33 of 85,0,0 of 0,---,0:00,33 of 85,12 of 58,2 of 4,19 of 23,33 of 85,0 of 0,Yoel Romero ,0,9 of 24,0,0 of 0,---,0:00,9 of 24,3 of 15,2 of 4,4 of 5,9 of 24,0 of 0
Round 2,Dan Miragliotta,Decision - Split,Brian Puccillo 47-48.,Sal D'amato 48-47.,Chris Lee 47-48.,Robert Whittaker ,0,29 of 77,0,0 of 0,---,0:00,29 of 77,14 of 57,6 of 8,9 of 12,28 of 73,1 of 4,Yoel Romero ,0,20 of 48,0,0 of 1,0%,0:00,20 of 48,8 of 33,4 of 5,8 of 10,19 of 47,1 of 1
Round 3,Dan Miragliotta,Decision - Split,Brian Puccillo 47-48.,Sal D'amato 48-47.,Chris Lee 47-48.,Robert Whittaker ,0,19 of 43,0,0 of 0,---,0:37,18 of 42,10 of 28,5 of 9,3 of 5,10 of 29,8 of 13,Yoel Romero ,1,54 of 97,1,2 of 6,33%,2:11,36 of 77,33 of 73,3 of 4,0 of 0,8 of 34,22 of 36
Round 4,Dan Miragliotta,Decision - Split,Brian Puccillo 47-48.,Sal D'amato 48-47.,Chris Lee 47-48.,Robert Whittaker ,0,34 of 94,0,0 of 0,---,0:00,34 of 93,16 of 65,7 of 14,11 of 14,34 of 93,0 of 0,Yoel Romero ,0,20 of 44,0,0 of 0,---,0:00,20 of 44,14 of 37,4 of 5,2 of 2,20 of 44,0 of 0
Round 5,Dan Miragliotta,Decision - Split,Brian Puccillo 47-48.,Sal D'amato 48-47.,Chris Lee 47-48.,Robert Whittaker ,0,14 of 29,0,0 of 1,0%,0:00,14 of 29,5 of 17,3 of 4,6 of 8,14 of 28,0 of 0,Yoel Romero ,1,46 of 74,1,1 of 3,33%,2:10,26 of 47,18 of 36,6 of 9,2 of 2,10 of 28,2 of 3
Round 1,Herb Dean,Decision - Unanimous,Sal D'amato 46-49.,Kelvin Caldwell 47-48.,Mike Bell 47-48.,Rafael Dos Anjos ,0,36 of 51,0,0 of 0,---,0:00,27 of 42,12 of 23,12 of 16,3 of 3,15 of 30,12 of 12,Colby Covington ,0,27 of 69,0,2 of 4,50%,2:42,17 of 57,9 of 44,1 of 6,7 of 7,14 of 51,3 of 6
Round 2,Herb Dean,Decision - Unanimous,Sal D'amato 46-49.,Kelvin Caldwell 47-48.,Mike Bell 47-48.,Rafael Dos Anjos ,0,25 of 45,0,0 of 0,---,0:00,20 of 40,8 of 26,9 of 11,3 of 3,15 of 35,5 of 5,Colby Covington ,0,32 of 77,0,2 of 3,66%,3:10,21 of 62,14 of 50,0 of 4,7 of 8,20 of 60,1 of 2
Round 3,Herb Dean,Decision - Unanimous,Sal D'amato 46-49.,Kelvin Caldwell 47-48.,Mike Bell 47-48.,Rafael Dos Anjos ,0,23 of 45,0,0 of 0,---,0:00,22 of 44,12 of 32,7 of 9,3 of 3,15 of 37,7 of 7,Colby Covington ,0,39 of 82,0,0 of 3,0%,3:02,29 of 72,12 of 50,7 of 11,10 of 11,25 of 66,3 of 5
Round 4,Herb Dean,Decision - Unanimous,Sal D'amato 46-49.,Kelvin Caldwell 47-48.,Mike Bell 47-48.,Rafael Dos Anjos ,0,22 of 37,0,3 of 4,75%,2:14,19 of 34,10 of 25,5 of 5,4 of 4,11 of 26,5 of 5,Colby Covington ,0,18 of 55,0,1 of 2,50%,0:54,12 of 49,6 of 39,3 of 6,3 of 4,12 of 48,0 of 0
Round 5,Herb Dean,Decision - Unanimous,Sal D'amato 46-49.,Kelvin Caldwell 47-48.,Mike Bell 47-48.,Rafael Dos Anjos ,0,24 of 45,0,0 of 2,0%,0:00,17 of 38,12 of 33,4 of 4,1 of 1,14 of 35,3 of 3,Colby Covington ,0,26 of 63,0,2 of 6,33%,2:49,20 of 56,13 of 46,3 of 6,4 of 4,19 of 53,1 of 3
Round 1,Kevin MacDonald,Decision - Unanimous,Brian Puccillo 27-30.,Kelvin Caldwell 26-30.,Mike Bell 26-30.,Holly Holm ,0,35 of 42,0,1 of 2,50%,3:34,12 of 17,4 of 7,5 of 5,3 of 5,5 of 8,6 of 8,Megan Anderson ,0,21 of 38,0,0 of 0,---,0:00,15 of 31,9 of 24,6 of 7,0 of 0,8 of 21,7 of 10
Round 2,Kevin MacDonald,Decision - Unanimous,Brian Puccillo 27-30.,Kelvin Caldwell 26-30.,Mike Bell 26-30.,Holly Holm ,0,57 of 74,0,1 of 2,50%,3:39,18 of 31,15 of 27,2 of 3,1 of 1,7 of 16,1 of 1,Megan Anderson ,0,16 of 28,0,0 of 0,---,0:00,7 of 19,4 of 14,3 of 5,0 of 0,7 of 19,0 of 0
Round 3,Kevin MacDonald,Decision - Unanimous,Brian Puccillo 27-30.,Kelvin Caldwell 26-30.,Mike Bell 26-30.,Holly Holm ,0,51 of 60,0,2 of 4,50%,3:30,17 of 23,8 of 13,5 of 6,4 of 4,7 of 11,1 of 1,Megan Anderson ,0,11 of 15,0,0 of 0,---,0:00,4 of 8,2 of 4,2 of 4,0 of 0,4 of 8,0 of 0
Round 1,Robert Madrigal,Decision - Unanimous,Brian Puccillo 28-29.,Chris Lee 28-29.,Brandon Mason 28-29.,Andrei Arlovski ,0,13 of 28,0,0 of 1,0%,0:14,13 of 28,7 of 20,2 of 3,4 of 5,10 of 24,3 of 3,Tai Tuivasa ,1,17 of 32,1,0 of 0,---,1:20,17 of 32,11 of 26,3 of 3,3 of 3,14 of 24,3 of 8
Round 2,Robert Madrigal,Decision - Unanimous,Brian Puccillo 28-29.,Chris Lee 28-29.,Brandon Mason 28-29.,Andrei Arlovski ,0,20 of 46,0,0 of 1,0%,0:24,19 of 45,12 of 35,1 of 2,6 of 8,19 of 44,0 of 0,Tai Tuivasa ,0,15 of 42,0,0 of 0,---,0:19,15 of 42,11 of 36,4 of 5,0 of 1,15 of 42,0 of 0
Round 3,Robert Madrigal,Decision - Unanimous,Brian Puccillo 28-29.,Chris Lee 28-29.,Brandon Mason 28-29.,Andrei Arlovski ,0,19 of 52,0,0 of 0,---,0:00,19 of 52,13 of 42,4 of 5,2 of 5,17 of 48,2 of 4,Tai Tuivasa ,0,22 of 46,0,0 of 0,---,0:00,22 of 46,14 of 36,5 of 7,3 of 3,20 of 43,2 of 3
Round 1,Kevin MacDonald,Overturned,Sal D'amato 30-26.,Chris Lee 30-26.,Brandon Mason 30-26.,CM Punk ,0,16 of 47,0,1 of 5,20%,2:05,11 of 41,4 of 28,5 of 8,2 of 5,5 of 32,5 of 8,Mike Jackson ,0,29 of 45,0,0 of 0,---,0:58,18 of 34,12 of 27,6 of 7,0 of 0,13 of 28,5 of 6
